"STUDYID","StudySpecies","USUBJID","Treatment","TreatmentDose","TRTDOSrank","MISTRESC","Count","SPECIES","Present"
"PC201708","PC201708 (RAT)","PC201708-4105","PCDRUG","PCDRUG 200 mg/kg","Treatment HD","Hypertrophy",0.0769230769230769,"RAT",1
"PC201708","PC201708 (RAT)","PC201708-4106","PCDRUG","PCDRUG 200 mg/kg","Treatment HD","Necrosis",0.0769230769230769,"RAT",1
"PC201708","PC201708 (RAT)","PC201708-4107","PCDRUG","PCDRUG 200 mg/kg","Treatment HD","Hypertrophy",0.0769230769230769,"RAT",1
"PC201708","PC201708 (RAT)","PC201708-4108","PCDRUG","PCDRUG 200 mg/kg","Treatment HD","Hypertrophy",0.0769230769230769,"RAT",1
"PC201708","PC201708 (RAT)","PC201708-4109","PCDRUG","PCDRUG 200 mg/kg","Treatment HD","Hypertrophy",0.0769230769230769,"RAT",1
"PC201708","PC201708 (RAT)","PC201708-4110","PCDRUG","PCDRUG 200 mg/kg","Treatment HD","Hypertrophy",0.0769230769230769,"RAT",1
"Study ID","Study ID (MONKEY)","Study ID-1002","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Aggregates",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-1002","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Infiltration",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-1002","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Necrosis",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-1002","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Hypertrophy",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-1002","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Inflammation",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-1002","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Vacuolization",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-1004","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Aggregates",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-1004","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Infiltration",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-1004","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Necrosis",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-1004","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Hypertrophy",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-1004","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Inflammation",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-1004","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Vacuolization",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-2002","Compound-1","Compound-1 12 mg/kg","Treatment Max","Aggregates",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-2002","Compound-1","Compound-1 12 mg/kg","Treatment Max","Infiltration",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-2002","Compound-1","Compound-1 12 mg/kg","Treatment Max","Necrosis",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-2002","Compound-1","Compound-1 12 mg/kg","Treatment Max","Hypertrophy",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-2002","Compound-1","Compound-1 12 mg/kg","Treatment Max","Inflammation",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-2002","Compound-1","Compound-1 12 mg/kg","Treatment Max","Vacuolization",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-2004","Compound-1","Compound-1 12 mg/kg","Treatment Max","Aggregates",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-2004","Compound-1","Compound-1 12 mg/kg","Treatment Max","Infiltration",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-2004","Compound-1","Compound-1 12 mg/kg","Treatment Max","Necrosis",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-2004","Compound-1","Compound-1 12 mg/kg","Treatment Max","Hypertrophy",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-2004","Compound-1","Compound-1 12 mg/kg","Treatment Max","Inflammation",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-2004","Compound-1","Compound-1 12 mg/kg","Treatment Max","Vacuolization",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-3002","Compound-1; Compound-2","Compound-1; Compound-2 0; 4 mg/kg","Treatment LD","Aggregates",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-3002","Compound-1; Compound-2","Compound-1; Compound-2 0; 4 mg/kg","Treatment LD","Infiltration",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-3002","Compound-1; Compound-2","Compound-1; Compound-2 0; 4 mg/kg","Treatment LD","Necrosis",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-3002","Compound-1; Compound-2","Compound-1; Compound-2 0; 4 mg/kg","Treatment LD","Hypertrophy",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-3002","Compound-1; Compound-2","Compound-1; Compound-2 0; 4 mg/kg","Treatment LD","Inflammation",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-3002","Compound-1; Compound-2","Compound-1; Compound-2 0; 4 mg/kg","Treatment LD","Vacuolization",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-3004","Compound-2; Compound-1","Compound-2; Compound-1 4; 0 mg/kg","Treatment LD","Aggregates",0,"MONKEY",0
"Study ID","Study ID (MONKEY)","Study ID-3004","Compound-2; Compound-1","Compound-2; Compound-1 4; 0 mg/kg","Treatment LD","Necrosis",0,"MONKEY",0
