Seq. For Order,Observation Class,Domain Prefix,"Variable Name 
(minus domain prefix)",Variable Name ,Variable Label ,Type,"Controlled Terms, Codelist, or Format ",Role,CDISC Notes ,Core
14,Findings,BW,BWBLFL,BWBLFL,Baseline Flag,Char,(NY),Record Qualifier,A baseline indicator may be used to calculate differences or changes from baseline. Value should be Y or null. The baseline flag is sponsor-defined.,Exp
15,Findings,BW,BWFAST,BWFAST,Fasting Status,Char,(NY),Record Qualifier,Indicator used to identify fasting status. May be left null if not relevant.,Perm
16,Findings,BW,BWEXCLFL,BWEXCLFL,Exclusion Flag,Char,(NY),Record Qualifier,"Y if the result should be excluded from all calculations, otherwise null.",Perm
17,Findings,BW,BWREASEX,BWREASEX,Reason for Exclusion,Char,,Record Qualifier,The reason the result should be excluded from all calculations. Used only when BWEXCLFL is Y.,Perm
18,Findings,BW,VISITDY,VISITDY,Planned Study Day of Collection,Num,,Timing,This is the planned study day of collection.,Exp
19,Findings,BW,BWDTC,BWDTC,Date/Time Animal Weighed,Char,ISO 8601,Timing,"Date/time of body weight collection in ISO 8601 format. This is the date/time of the collection of the observation. If the observation is for a period, this is the start of the period.",Exp
20,Findings,BW,BWDY,BWDY,Study Day Animal Weighed,Num,,Timing,"Study day of body weight collection, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
1,Findings,CL,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
2,Findings,CL,DOMAIN,DOMAIN,Domain Abbreviation,Char,(DOMAIN),Identifier,Two-character abbreviation for the domain.,Req
3,Findings,CL,USUBJID,USUBJID,Unique Subject Identifier,Char,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Exp
4,Findings,CL,POOLID,POOLID,Pool Identifier,Char,,Identifier,"Used to identify a result for pooled subjects that are not assignable to any one individual within the pool. If POOLID is entered, POOLDEF records must exist for each subject and the USUBJID must be null. An example for CL may be Cage identifier, where the animals in this dataset are housed together and a sign is applicable for all animals (e.g., Liquid Feces). Either USUBJID or POOLID must be populated.",Perm
5,Findings,CL,CLSEQ,CLSEQ,Sequence Number,Num,,Identifier,Sequence number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
6,Findings,CL,CLGRPID,CLGRPID,Group Identifier,Char,,Identifier,Used to tie together a block of related records in a single domain for a subject. This is not the treatment group number.,Perm
7,Findings,CL,CLSPID,CLSPID,Mass Identifier,Char,,Identifier,"Mass identifier such as MASS 1 or MASS A. Used when the mass was discovered during the in-life phase and assigned a mass identifier. The mass identification should be unique within the subject, regardless of mass location.",Perm
8,Findings,CL,CLTESTCD,CLTESTCD,Test Short Name,Char,,Topic,"Short name of the measurement, test, or examination described in CLTEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in CLTESTCD cannot be longer than 8 characters, nor can it start with a number (e.g., “1TEST” is not valid). CLTESTCD cannot contain characters other than letters, numbers, or underscores.",Req
9,Findings,CL,CLTEST,CLTEST,Test Name,Char,,Synonym Qualifier,Long name for CLTESTCD. The value in CLTEST cannot be longer than 40 characters.,Req
10,Findings,CL,CLCAT,CLCAT,Category for Clinical Observations,Char,(CLCAT),Grouping Qualifier,Used to define a category of the clinical observation.,Req
11,Findings,CL,CLSCAT,CLSCAT,Subcategory for Clinical Observations,Char,,Grouping Qualifier,Used to further categorize a group of clinical observations within a category. For example “Whole Body Appearance” and “Sensory Organ Appearance” may be subcategories within Clinical Signs.,Perm
12,Findings,CL,CLBODSYS,CLBODSYS,Body System or Organ Class,Char,(BODSYS),Record Qualifier,Body system or organ class associated with the measurement performed.,Perm
13,Findings,CL,CLORRES,CLORRES,Result or Findings as Collected,Char,,Result Qualifier,"Text description of the finding as originally received or collected. If the examination was not performed on a particular body system, or at the subject level, then the value should be null, and NOT DONE should appear in CLSTAT.",Exp
14,Findings,CL,CLSTRESC,CLSTRESC,Standardized Result in Character Format,Char,,Result Qualifier,"The base finding from CLORRES without modifiers. If the examination was completed and there were no abnormal findings, the value must be NORMAL.",Exp
15,Findings,CL,CLRESCAT,CLRESCAT,Result Category,Char,,Variable Qualifier,Used to categorize the result of a finding post collection. Examples: Color or Facial.,Perm
16,Findings,CL,CLSTAT,CLSTAT,Examination Status,Char,(ND),Record Qualifier,Used to indicate when a result is missing. Should be null if a result exists in CLORRES.,Perm
17,Findings,CL,CLREASND,CLREASND,Reason Not Done,Char,,Record Qualifier,"Describes why CLSTAT is NOT DONE, such as ANIMAL MORIBUND.",Perm
18,Findings,CL,CLLOC,CLLOC,Location of a Finding,Char,,Record Qualifier,Can be used to specify where a clinical sign occurred. Example: LEFT EAR for skin rash.,Exp
19,Findings,CL,CLEVAL,CLEVAL,Evaluator,Char,,Record Qualifier,"Role of the person who provided the evaluation. Example: TOX TECHNICIAN, OPHTHALMOLOGIST, VETERINARIAN.",Perm
20,Findings,CL,CLSEV,CLSEV,Severity,Char,,Record Qualifier,Describes the severity or intensity of a particular finding.,Perm
21,Findings,CL,CLEXCLFL,CLEXCLFL,Exclusion Flag,Char,(NY),Record Qualifier,"Y if the result should be excluded from all calculations, otherwise null.",Perm
22,Findings,CL,CLREASEX,CLREASEX,Reason for Exclusion,Char,,Record Qualifier,The reason the result should be excluded from all calculations. Used only when CLEXCLFL is Y.,Perm
23,Findings,CL,VISITDY,VISITDY,Planned Study Day of Collection,Num,,Timing,This is the planned study day of collection.,Exp
24,Findings,CL,CLDTC,CLDTC,Start Date/Time of Observation,Char,ISO 8601,Timing,Date/time of the clinical observation in ISO 8601 format.,Exp
25,Findings,CL,CLDY,CLDY,Study Day of Observation,Num,,Timing,"Study day of the clinical observation, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
26,Findings,CL,CLTPT,CLTPT,Planned Time Point Name,Char,,Timing,"Text description of time when an observation should be taken, as defined in the protocol. This may be represented as an elapsed time relative to a fixed reference point, such as time postdose.",Perm
27,Findings,CL,CLTPTNUM,CLTPTNUM,Planned Time Point Number,Num,,Timing,Numeric version of planned time point used in sorting.,Perm
28,Findings,CL,CLELTM,CLELTM,Planned Elapsed Time from Time Point Ref,Char,ISO 8601,Timing,"Planned Elapsed time in ISO 8601 format relative to a planned reference (CLTPTREF). This variable is useful where there are repetitive measures. Not a clock time or a date/time variable, but an interval, represented as an ISO 8601 duration.",Perm
29,Findings,CL,CLTPTREF,CLTPTREF,Time Point Reference,Char,,Timing,"Description of the fixed reference point referred to by --ELTM, --TPTNUM, and --TPT. Examples: PREVIOUS DOSE, PREVIOUS MEAL.",Perm
30,Findings,CL,CLRFTDTC,CLRFTDTC,Date/Time of Reference Time Point,Char,ISO 8601,Timing,Date/time for a fixed reference time point defined by --TPTREF in,Perm
1,Special-Purpose,CO,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
2,Special-Purpose,CO,DOMAIN,DOMAIN,Domain Abbreviation,Char,(DOMAIN),Identifier,Two-character abbreviation for the domain.,Req
3,Special-Purpose,CO,RDOMAIN,RDOMAIN,Related Domain Abbreviation,Char,,Record Qualifier,Domain abbreviation of the parent record(s). Null for comments collected as a general comment or additional information.,Exp
4,Special-Purpose,CO,USUBJID,USUBJID,Unique Subject Identifier,Char,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Exp
5,Special-Purpose,CO,COSEQ,COSEQ,Sequence Number,Num,,Identifier,Sequence number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
6,Special-Purpose,CO,IDVAR,IDVAR,Identifying Variable,Char,,Record Qualifier,Identifying variable in the parent dataset that identifies the record(s) to which the comment applies. Examples: BWSEQ or CLGRPID. Used only when individual comments are related to domain records.,Exp
7,Special-Purpose,CO,IDVARVAL,IDVARVAL,Identifying Variable Value,Char,,Record Qualifier,Value of identifying variable of the parent record(s). Used only when individual comments are related to domain records. Cannot be populated if IDVAR is null.,Exp
8,Special-Purpose,CO,COREF,COREF,Comment Reference,Char,,Record Qualifier,"User-defined reference associated with the comment. May be the logbook page number, name (e.g., Logbook), or a combination of information that identifies the reference (e.g., Logbook, page 650, Day 28, morning).",Perm
9,Special-Purpose,CO,COVAL,COVAL,Comment,Char,,Topic,The text of the comment. Text over 200 characters can be added to additional columns COVAL1-COVALn. See Assumption 4 in Section 5.2.1.1.,Req
10,Special-Purpose,CO,COEVAL,COEVAL,Evaluator,Char,,Record Qualifier,"Used to describe the originator of the comment. Examples: TECHNICIAN, STUDY DIRECTOR, VET.",Perm
11,Special-Purpose,CO,CODTC,CODTC,Date/Time of Comment,Char,ISO 8601,Timing,"Date/time of the comment, in ISO 8601 format. Should be null if this is a child record of another domain or if comment date was not collected.",Exp
12,Special-Purpose,CO,CODY,CODY,Study Day of Comment,Num,,Timing,"Study day of the comment, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
1,Findings,DD,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
2,Findings,DD,DOMAIN,DOMAIN,Domain Abbreviation,Char,(DOMAIN),Identifier,Two-character abbreviation for the domain.,Req
3,Findings,DD,USUBJID,USUBJID,Unique Subject Identifier,Char,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
4,Findings,DD,DDSEQ,DDSEQ,Sequence Number,Num,,Identifier,Sequence number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
5,Findings,DD,DDTESTCD,DDTESTCD,Death Diagnosis Short Name,Char,(DDTESTCD),Topic,"Short name of the measurement, test, or examination described in DDTEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in DDTESTCD cannot be longer than 8 characters, nor can it start with a number (e.g., “1TEST” is not valid). DDTESTCD cannot contain characters other than letters, numbers, or underscores. In this domain the value should always be DEATHD.",Req
6,Findings,DD,DDTEST,DDTEST,Death Diagnosis Name,Char,(DDTEST),Synonym Qualifier,"Long name for DDTESTCD. The value in DDTEST cannot be longer than 40 characters. In this domain, the value should always be “Death Diagnosis”.",Req
7,Findings,DD,DDORRES,DDORRES,Result or Findings as Collected,Char,,Result Qualifier,"Result of the diagnosis of the subject’s cause of death, as originally received or collected.",Req
8,Findings,DD,DDSTRESC,DDSTRESC,Standardized Result in Character Format,Char,,Result Qualifier,"Contains the diagnosis information, copied or derived from DDORRES in a standard format. Examples: UNKNOWN, GAVAGE ERROR.",Exp
9,Findings,DD,DDRESCAT,DDRESCAT,Result Category,Char,,Variable Qualifier,"Used to categorize the result of a finding. Examples: TREATMENT RELATED, NONTREATMENT RELATED, UNDETERMINED, ACCIDENTAL, etc.",Perm
10,Findings,DD,DDEVAL,DDEVAL,Evaluator,Char,,Record Qualifier,"Role of the person who provided the evaluation. Examples: TOX PATHOLOGIST, PEER REVIEW, SPONSOR, VETERINARIAN.",Perm
11,Findings,DD,DDDTC,DDDTC,Date/time of Diagnosis,Char,ISO 8601,Timing,"Date/time of the diagnosis, in ISO 8601 format.",Perm
12,Findings,DD,DDDY,DDDY,Study Day of Diagnosis,Num,,Timing,"Study day of the diagnosis, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
1,Special-Purpose,DM,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
2,Special-Purpose,DM,DOMAIN,DOMAIN,Domain Abbreviation,Char,(DOMAIN),Identifier,Two-character abbreviation for the domain.,Req
3,Special-Purpose,DM,USUBJID,USUBJID,Unique Subject Identifier,Char,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
4,Special-Purpose,DM,SUBJID,SUBJID,Subject Identifier for the Study,Char,,Topic,"Subject (i.e., Animal) identifier used within the study.",Req
5,Special-Purpose,DM,RFSTDTC,RFSTDTC,Subject Reference Start Date/Time,Char,ISO 8601,Record Qualifier,Reference start date/time for the subject in ISO 8601 character format. Usually equivalent to date/time when subject was first exposed to study treatment. Study day calculation (the --DY variable) in all domains will be based on this date. The sponsor must define what collected date is used to populate RFSTDTC in the data definition file.,Req
6,Special-Purpose,DM,RFENDTC,RFENDTC,Subject Reference End Date/Time,Char,ISO 8601,Record Qualifier,Reference end date/time for the subject in ISO 8601 character format. Usually equivalent to the date/time when the subject was determined to have left the study. The sponsor must define what collected date is used to populate RFENDTC in the data definition file.,Exp
7,Special-Purpose,DM,SITEID,SITEID,Study Site Identifier,Char,,Record Qualifier,Unique identifier for a study site within a submission. Use only if the in-life part of the study is conducted at different sites.,Perm
8,Special-Purpose,DM,BRTHDTC,BRTHDTC,Date/Time of Birth,Char,ISO 8601,Record Qualifier,Date/time of birth of the subject.,Perm
9,Special-Purpose,DM,AGE,AGE,Age,Num,,Record Qualifier,"May be derived (RFSTDTC – BRTHDTC), but BRTHDTC may not be available in all cases. Age may also be collected.",Perm
10,Special-Purpose,DM,AGETXT,AGETXT,Age Range,Char,number-number,Record Qualifier,"Used when the age is a range and the exact birthdate is not known. This variable is a character field for the purposes of defining age ranges, e.g., if the information available for the age of the subject is 6-8 and AGEU is WEEKS. Populate only when BRTHDTC or AGE are not specified. The format for AGETXT is “number-number” (e.g., 6-8).",Perm
11,Special-Purpose,DM,AGEU,AGEU,Age Unit,Char,(AGEU),Variable Qualifier,Units associated with either AGE or AGETXT.,Exp
12,Special-Purpose,DM,SEX,SEX,Sex, Char,(SEX),Record Qualifier, The sex of the subject., Req  
13,Special-Purpose,DM,SPECIES,SPECIES,Species, Char,(SPECIES),Record Qualifier," If this variable is excluded in the DM domain, the information must be present at a higher level (Trial Summary).", Perm  
14,Special-Purpose,DM,STRAIN,STRAIN,Strain/Substrain, Char,(STRAIN),Record Qualifier," Used to identify the vendor-supplied strain/substrain designation for the subject (i.e., test system) under study. When applicable, it combines the root strain, substrain, and associated genetic modifications as supplied by the vendor (e.g., C57BL/6, A/J, B6.129-Pparg<tm2Rev>/J, FISCHER 344, SPRAGUE-DAWLEY IGS, WISTAR Kyoto, BEAGLE, CYNOMOLGUS, and CHIMPANZEE). The SEND Controlled Terminology codelist consists of commonly used wild type strains. It is extensible to accommodate strains not listed and genetically modified substrains. If this variable is excluded in the DM domain, the information must be present at a higher level (Trial Summary).", Perm  
15,Special-Purpose,DM,SBSTRAIN,SBSTRAIN,Strain/Substrain Details, Char,,Record Qualifier," Free-text field that allows the sponsor to enter additional details regarding the subject (i.e., test system) under study, such as a description of a specific genetic alteration.", Perm  
16,Special-Purpose,DM,ARMCD,ARMCD,Planned Arm Code, Char,,Record Qualifier, Short name for ARM (may be up to 20 characters) used for sorting and programming. Should be populated when Arms have been defined in the TA domain., Exp  
17,Special-Purpose,DM,ARM,ARM,Description of Planned Arm, Char,,Synonym Qualifier," Descriptive name given to a specific Trial Arm (e.g., Low Dose, Mid Dose, 10 mg/kg/day dose, Third Arm) to which subject was assigned.", Perm  
18,Special-Purpose,DM,SETCD,SETCD,Set Code, Char,,Record Qualifier," Short name of a specific Trial Set, as defined by the sponsor. Maximum of 8 characters. This represents the Trial Set for which parameters are being submitted.", Req  
1,Events,DS,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
2,Events,DS,DOMAIN,DOMAIN,Domain Abbreviation,Char,(DOMAIN),Identifier,Two-character abbreviation for the domain.,Req
3,Events,DS,USUBJID,USUBJID,Unique Subject Identifier,Char,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
4,Events,DS,DSSEQ,DSSEQ,Sequence Number,Num,,Identifier,Sequence number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
5,Events,DS,DSTERM,DSTERM,Reported Term for the Disposition Event,Char,,Topic,"DSTERM is the original term recorded for animal disposition. DSTERM is not under controlled terminology, but should be mapped to DSDECOD.",Req
6,Events,DS,DSDECOD,DSDECOD,Standardized Disposition Term,Char,(DSDECOD),Synonym Qualifier,Contains the result in a standard format.,Req
7,Events,DS,VISITDY,VISITDY,Planned Study Day of Disposition,Num,,Timing,Planned study day of the disposition event. Should be an integer. VISITDY should be populated only when DSTERM represents a scheduled activity.,Exp
8,Events,DS,DSSTDTC,DSSTDTC,Date/Time of Disposition,Char,ISO 8601,Timing,Date/time of the disposition event in ISO 8601 format.,Req
9,Events,DS,DSSTDY,DSSTDY,Study Day of Disposition,Num,,Timing,"Study day of the disposition event, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
1,Findings,EG,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
2,Findings,EG,DOMAIN,DOMAIN,Domain Abbreviation,Char,(DOMAIN),Identifier,Two-character abbreviation for the domain.,Req
3,Findings,EG,USUBJID,USUBJID,Unique Subject Identifier,Char,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product,Req
4,Findings,EG,EGSEQ,EGSEQ,Sequence Number,Num,,Identifier,Sequence number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
5,Findings,EG,EGGRPID,EGGRPID,Group Identifier,Char,,Identifier,Used to tie together a block of related records in a single domain for a subject and can be used to support relationships within the domain and between domains using RELREC. This is not the treatment group number.,Perm
6,Findings,EG,EGREFID,EGREFID,ECG Reference Identifier,Char,,Identifier,Internal or external ECG identifier. Example: UUID,Perm
7,Findings,EG,EGSPID,EGSPID,Sponsor-Defined Identifier,Char,,Identifier,Optional sponsor-defined reference number.,Perm
8,Findings,EG,EGTESTCD,EGTESTCD,ECG Test or Examination Short Name,Char,(EGTESTCD),Topic,"Short name of the measurement, test, or examination described in EGTEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in EGTESTCD cannot be longer than 8 characters, nor can it start with a number (e.g., “1TEST” is not valid). EGTESTCD cannot contain characters other than letters, numbers, or underscores. Examples: HRMEAN, QRSDUR",Req
9,Findings,EG,EGTEST,EGTEST,ECG Test or Examination Name,Char,(EGTEST),Synonym Qualifier,"Long name for EGTESTCD. The value in EGTEST cannot be longer than 40 characters. Examples: Summary (Mean) Heart Rate, Summary (Mean) QRS Duration.",Req
10,Findings,EG,EGCAT,EGCAT,Category for ECG,Char,(EGCATSND),Grouping Qualifier,"Used to categorize ECG observations across subjects. Examples: MEASUREMENT, DIAGNOSIS, INTERPRETATION",Perm
11,Findings,EG,EGPOS,EGPOS,ECG Position of Subject,Char,(POSITION),Record Qualifier,"Position of the subject during a measurement or examination. Examples: SUPINE, STANDING, SITTING, UNCONSTRAINED",Exp
12,Findings,EG,EGORRES,EGORRES,Result or Findings as Collected,Char,,Result Qualifier,Result of the ECG measurement or interval as originally received or collected.,Exp
13,Findings,EG,EGORRESU,EGORRESU,Unit of the Original Result,Char,(UNIT),Variable Qualifier,The unit for the original result. The unit of the original result should be mapped to a synonymous unit on the Controlled Terminology list.,Exp
14,Findings,EG,EGSTRESC,EGSTRESC,Standardized Result in Character Format,Char,(EGSTRESC),Result Qualifier,"Contains the result value for all findings, copied or derived from EGORRES, in a standard format or standard units. EGSTRESC should store all results or findings in character format; if results are numeric, they should also be stored in numeric format in EGSTRESN. For example, if a test has results of NONE, NEG, and NEGATIVE in EGORRES and these results effectively have the same meaning, they could be represented in standard format in EGSTRESC as NEGATIVE. For other examples, see general assumptions. Additional examples of result data: SINUS BRADYCARDIA, ATRIAL FLUTTER, ATRIAL FIBRILLATION.",Exp
15,Findings,EG,EGSTRESN,EGSTRESN,Standardized Result in Numeric Format,Num,,Result Qualifier,Used for continuous or numeric results or findings in standard format; copied in numeric format from EGSTRESC. EGSTRESN should store all numeric test results or findings.,Exp
16,Findings,EG,EGSTRESU,EGSTRESU,Unit of the Standardized Result,Char,(UNIT),Variable Qualifier,Standardized unit used for EGSTRESC or EGSTRESN. Preferably SI units.,Exp
17,Findings,EG,EGSTAT,EGSTAT,Completion Status,Char,(ND),Record Qualifier,Used to indicate when a test is not done or result is missing. Should be null if a result exists in EGORRES.,Perm
18,Findings,EG,EGREASND,EGREASND,Reason Not Done,Char,,Record Qualifier,"Describes why EGSTAT is NOT DONE, such as BROKEN EQUIPMENT.",Perm
19,Findings,EG,EGXFN,EGXFN,ECG External File Name,Char,,Record Qualifier,File name and path for the external ECG Waveform file. Would be used if sponsor is requested to submit waveform.,Perm
20,Findings,EG,EGNAM,EGNAM,Vendor Name,Char,,Record Qualifier,Name or identifier of the laboratory or vendor who provided the test results.,Perm
21,Findings,EG,EGLEAD,EGLEAD,Location Used for Measurement,Char,(EGLEAD),Record Qualifier,Lead identified to capture the measurement.,Exp
22,Findings,EG,EGMETHOD,EGMETHOD,Method of ECG Test,Char,(EGMETHOD),Record Qualifier,"Method of the ECG test. Examples: 12 LEAD STANDARD, 6 LEAD STANDARD.",Exp
23,Findings,EG,EGCSTATE,EGCSTATE,Consciousness State,Char,(CSTATE),Record Qualifier,"Consciousness state of the subject at the time of measurement. Examples: CONSCIOUS, SEMI-CONSCIOUS, UNCONSCIOUS",Exp
