Seq. For Order,Observation Class,Domain Prefix,"Variable Name 
(minus domain prefix)",Variable Name,Variable Label,Type,"Controlled Terms, Codelist or Format",Role,"CDISC Notes (for domains)
Description (for General Classes)",Core
28,Interventions,EX,ELTM,EXELTM,Planned Elapsed Time from Time Point Ref,Char,ISO 8601,Timing,"Planned elapsed time (in ISO 8601 format) relative to the planned fixed reference (EXTPTREF). This variable is useful where there are repetitive measures. Not a clock time or a date time variable. Represented as an ISO 8601 duration. Examples: ""- PT15M"" to represent the period of 15 minutes prior to the reference point indicated by EXTPTREF, or ""PT8H"" to represent the period of 8 hours after the reference point indicated by EXTPTREF.",Perm
29,Interventions,EX,TPTREF,EXTPTREF,Time Point Reference,Char,,Timing,"Name of the fixed reference point referred to by EXELTM, if used for EXTPTNUM, and EXTPT. It is recommended that EXTPTREF be as descriptive as possible so the reference time point can be inferred without looking at other variables. Examples: Previous dose, previous feed.",Perm
30,Interventions,EX,RFTDTC,EXRFTDTC,Date/Time of Reference Time Point,Char,ISO 8601,Timing,"Date/Time of the reference time point, EXTPTREF.",Perm
1,Events,DS,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
2,Events,DS,DOMAIN,DOMAIN,Domain Abbreviation,Char,DS,Identifier,Two-character abbreviation for the domain.,Req
3,Events,DS,USUBJID,USUBJID,Unique Subject Identifier,Char,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
4,Events,DS,SEQ,DSSEQ,Sequence Number,Num,,Identifier,Sequence number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
5,Events,DS,TERM,DSTERM,Reported Term for the Disposition Event,Char,,Topic,"DSTERM is the original term recorded for subject disposition. DSTERM is not under controlled terminology, but should be mapped to DSDECOD.",Req
6,Events,DS,DECOD,DSDECOD,Standardized Disposition Term,Char,(DSDECOD),Synonym Qualifier,Contains the result in a standard format.,Req
7,Events,DS,USCHFL,DSUSCHFL,Unscheduled Flag,Char,(NY),Record Qualifier,"Indicates whether the subject's disposition was unscheduled. If the subject's disposition was based upon a schedule defined in the protocol, this flag should be null. Expected values are Y or null.",Exp
8,Events,DS,VISITDY,VISITDY,Planned Study Day of Disposition,Num,,Timing,Planned study day of collection. Should be an integer. VISITDY should be populated only when DSTERM represents a scheduled activity.,Perm
9,Events,DS,STDTC,DSSTDTC,Date/Time of Disposition,Char,ISO 8601,Timing,"Date/Time of the disposition event, in ISO 8601 format.",Req
10,Events,DS,STDY,DSSTDY,Study Day of Disposition,Num,,Timing,"Study day of the disposition event, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
11,Events,DS,NOMDY,DSNOMDY,Nominal Study Day for Tabulations,Num,,Timing,Nominal study day used for grouping records for observations that may occur on different days into a single reported study day. Should be an integer.,Exp
12,Events,DS,NOMLBL,DSNOMLBL,Label for Nominal Study Day,Char,,Timing,"A label for a given value of DSNOMDY as presented in the study report. Examples: Week 4, Day 28, Terminal Sac.",Perm
1,Findings,BW,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
2,Findings,BW,DOMAIN,DOMAIN,Domain Abbreviation,Char,BW,Identifier,Two-character abbreviation for the domain.,Req
3,Findings,BW,USUBJID,USUBJID,Unique Subject Identifier,Char,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
4,Findings,BW,SEQ,BWSEQ,Sequence Number,Num,,Identifier,Sequence number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
5,Findings,BW,TESTCD,BWTESTCD,Test Short Name,Char,(BWTESTCD),Topic,"Short name of the measurement, test, or examination described in BWTEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in BWTESTCD cannot be longer than 8 characters, nor can it start with a number (e.g., ""1TEST"" is not valid). BWTESTCD cannot contain characters other than letters, numbers, or underscores.",Req
6,Findings,BW,TEST,BWTEST,Test Name,Char,(BWTEST),Synonym Qualifier,Long name for BWTESTCD. The value in BWTEST cannot be longer than 40 characters.,Req
7,Findings,BW,ORRES,BWORRES,Result or Findings as Collected,Char,,Result Qualifier,Result of the measurement or finding as originally received or collected.,Exp
8,Findings,BW,ORRESU,BWORRESU,Unit of the Original Result,Char,(UNIT),Variable Qualifier,The unit for the original result. The unit of the original result should be mapped to a synonymous unit on the Controlled Terminology list.,Exp
9,Findings,BW,STRESC,BWSTRESC,Standardized Result in Character Format,Char,,Result Qualifier,"Contains the result value for all findings, copied or derived from BWORRES in a standard format or standard units. BWSTRESC should store all results or findings in character format; if results are numeric, they should also be submitted in numeric format in BWSTRESN.",Exp
10,Findings,BW,STRESN,BWSTRESN,Standardized Result in Numeric Format,Num,,Result Qualifier,Used for numeric results or findings in standard format; contains the numeric form of BWSTRESC. BWSTRESN should store all numeric test results or findings.,Exp
11,Findings,BW,STRESU,BWSTRESU,Unit of the Standardized Result,Char,(UNIT),Variable Qualifier,Standardized unit used for BWSTRESC and BWSTRESN.,Exp
12,Findings,BW,STAT,BWSTAT,Completion Status,Char,(ND),Record Qualifier,Used to indicate when a test is not done or result is missing. Should be null if a result exists in BWORRES.,Perm
13,Findings,BW,REASND,BWREASND,Reason Not Done,Char,,Record Qualifier,"Describes why BWSTAT is NOT DONE, such as BROKEN EQUIPMENT or TECHNICIAN OVERSIGHT.",Perm
14,Findings,BW,BLFL,BWBLFL,Baseline Flag,Char,(NY),Record Qualifier,A baseline indicator may be used to calculate differences or changes from baseline. Value should be Y or null. The baseline flag is sponsor defined.,Exp
15,Findings,BW,FAST,BWFAST,Fasting Status,Char,(NY),Record Qualifier,Indicator used to identify fasting status. The value should by Y or null.,Perm
16,Findings,BW,EXCLFL,BWEXCLFL,Exclusion Flag,Char,(NY),Record Qualifier,"Y if the result should be excluded from all calculations, otherwise null.",Perm
17,Findings,BW,REASEX,BWREASEX,Reason for Exclusion,Char,,Record Qualifier,The reason the result should be excluded from all calculations. Used only when BWEXCLFL is Y.,Perm
18,Findings,BW,USCHFL,BWUSCHFL,Unscheduled Flag,Char,(NY),Record Qualifier,"Indicates whether the timing of a performed test or observation was unscheduled. If a test or observation was performed based upon a schedule defined in the protocol, this flag should be null. Expected values are Y or null.",Perm
19,Findings,BW,VISITDY,VISITDY,Planned Study Day of Collection,Num,,Timing,Planned study day of collection. Should be an integer.,Perm
20,Findings,BW,DTC,BWDTC,Date/Time Animal Weighed,Char,ISO 8601,Timing,Date/Time of body weight collection in ISO 8601 format.,Exp
21,Findings,BW,DY,BWDY,Study Day Animal Weighed,Num,,Timing,"Study day of body weight collection, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
22,Findings,BW,NOMDY,BWNOMDY,Nominal Study Day for Tabulations,Num,,Timing,Nominal study day used for grouping records for observations that may occur on different days into a single reported study day. Should be an integer.,Exp
23,Findings,BW,NOMLBL,BWNOMLBL,Label for Nominal Study Day,Char,,Timing,"A label for a given value of BWNOMDY as presented in the study report. Examples: ""Week 4,"" ""Day 28,"" ""Terminal Sac"".",Perm
1,Findings,BG,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
2,Findings,BG,DOMAIN,DOMAIN,Domain Abbreviation,Char,BG,Identifier,Two-character abbreviation for the domain.,Req
3,Findings,BG,USUBJID,USUBJID,Unique Subject Identifier,Char,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
4,Findings,BG,SEQ,BGSEQ,Sequence Number,Num,,Identifier,Sequence number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
5,Findings,BG,TESTCD,BGTESTCD,Test Short Name,Char,(BGTESTCD),Topic,"Short name of the measurement, test, or examination described in BGTEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in BGTESTCD cannot be longer than 8 characters, nor can it start with a number (e.g., ""1TEST"" is not valid). BGTESTCD cannot contain characters other than letters, numbers, or underscores.",Req
6,Findings,BG,TEST,BGTEST,Test Name,Char,(BGTEST),Synonym Qualifier,Long name for BGTESTCD. The value in BGTEST cannot be longer than 40 characters.,Req
7,Findings,BG,ORRES,BGORRES,Result or Findings as Collected,Char,,Result Qualifier,Result of the measurement or finding as originally received or collected.,Exp
8,Findings,BG,ORRESU,BGORRESU,Unit of the Original Result,Char,(UNIT),Variable Qualifier,The unit for the original result. The unit of the original result should be mapped to a synonymous unit on the Controlled Terminology (http://www.cdisc.org/terminology) list.,Exp
9,Findings,BG,STRESC,BGSTRESC,Standardized Result in Character Format,Char,,Result Qualifier,"Contains the result value for all findings, copied or derived from BGORRES in a standard format or standard units. BGSTRESC should store all results or findings in character format; if results are numeric, they should also be submitted in numeric format in BGSTRESN.",Exp
10,Findings,BG,STRESN,BGSTRESN,Standardized Result in Numeric Format,Num,,Result Qualifier,Used for numeric results or findings in standard format; contains the numeric form of BGSTRESC. BGSTRESN should store all numeric test results or findings.,Exp
11,Findings,BG,STRESU,BGSTRESU,Unit of the Standardized Result,Char,(UNIT),Variable Qualifier,Standardized unit used for BGSTRESC and BGSTRESN.,Exp
12,Findings,BG,STAT,BGSTAT,Completion Status,Char,(ND),Record Qualifier,Used to indicate when a test is not done or result is missing. Should be null if a result exists in BGORRES.,Perm
13,Findings,BG,REASND,BGREASND,Reason Not Done,Char,,Record Qualifier,"Describes why BGSTAT is NOT DONE, such as MISSING BODY WEIGHT.",Perm
14,Findings,BG,EXCLFL,BGEXCLFL,Exclusion Flag,Char,(NY),Record Qualifier,"Y if the result should be excluded from all calculations, otherwise null.",Perm
15,Findings,BG,REASEX,BGREASEX,Reason for Exclusion,Char,,Record Qualifier,The reason the result should be excluded from all calculations. Used only when BGEXCLFL is Y.,Perm
16,Findings,BG,DTC,BGDTC,Date/Time Animal Weighed,Char,ISO 8601,Timing,"Date/Time of the start of the weight interval, in ISO 8601 format.",Exp
17,Findings,BG,ENDTC,BGENDTC,End Date/Time Animal Weighed,Char,ISO 8601,Timing,"Date/Time of the end of the weight interval, in ISO 8601 format.",Exp
18,Findings,BG,DY,BGDY,Study Day of Start of Interval,Num,,Timing,"Study day of the start of the weight interval, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
19,Findings,BG,ENDY,BGENDY,Study Day of End of Weight Interval,Num,,Timing,"Study day of the end of the weight interval, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
1,Findings,CL,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
2,Findings,CL,DOMAIN,DOMAIN,Domain Abbreviation,Char,CL,Identifier,Two-character abbreviation for the domain.,Req
3,Findings,CL,USUBJID,USUBJID,Unique Subject Identifier,Char,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product. Either USUBJID or POOLID must be populated.,Exp
4,Findings,CL,POOLID,POOLID,Pool Identifier,Char,,Identifier,"Identifier used for pooling subjects to assign a single finding to multiple subjects. If POOLID is entered, POOLDEF records must exist for each subject and the USUBJID must be null. Either USUBJID or POOLID must be populated.",Perm
5,Findings,CL,FOCID,FOCID,Focus of Study-Specific Interest,Char,,Identifier,"Identification of a focus of study-specific interest on or within a subject or specimen as defined in the protocol, for which a measurement, test, or examination was performed. An example could be a drug application site, e.g. ""Injection site 1,"" ""Biopsy site 1,"" ""Treated site 1."" the value in this variable should have inherent semantic value.",Perm
6,Findings,CL,SEQ,CLSEQ,Sequence Number,Num,,Identifier,"The sequence number must be unique for each record within a USUBJID or POOLID, whichever applies for the record.",Req
7,Findings,CL,GRPID,CLGRPID,Group Identifier,Char,,Identifier,Used to tie together a block of related records in a single domain for a subject or pool. This is not the treatment group number.,Perm
8,Findings,CL,SPID,CLSPID,Mass Identifier,Char,,Identifier,"Mass identifier such as MASS 1 or MASS A. Used when the mass was discovered during the in-life phase and assigned a mass identifier. The mass identification should be unique within the subject, regardless of mass location.",Perm
9,Findings,CL,TESTCD,CLTESTCD,Test Short Name,Char,,Topic,"Short name of the measurement, test, or examination described in CLTEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in CLTESTCD cannot be longer than 8 characters, nor can it start with a number (e.g., ""1TEST"" is not valid). CLTESTCD cannot contain characters other than letters, numbers, or underscores.",Req
10,Findings,CL,TEST,CLTEST,Test Name,Char,,Synonym Qualifier,Long name for CLTESTCD. The value in CLTEST cannot be longer than 40 characters.,Req
11,Findings,CL,CAT,CLCAT,Category for Clinical Observations,Char,(CLCAT),Grouping Qualifier,Used to define a category of the clinical observation.,Req
12,Findings,CL,SCAT,CLSCAT,Subcategory for Clinical Observations,Char,,Grouping Qualifier,"Used to further categorize a group of clinical observations within a category. For example ""Whole Body Appearance"" and ""Sensory Organ Appearance"" may be subcategories within Clinical Signs.",Perm
13,Findings,CL,BODSYS,CLBODSYS,Body System or Organ Class,Char,(BODSYS),Record Qualifier,Body system or organ class associated with the measurement performed.,Perm
14,Findings,CL,ORRES,CLORRES,Result or Findings as Collected,Char,,Result Qualifier,"Text description of the finding as originally received or collected. If the examination was not performed on a particular body system, or at the subject level, then the value should be null, and NOT DONE should appear in CLSTAT.",Exp
15,Findings,CL,STRESC,CLSTRESC,Standardized Result in Character Format,Char,,Result Qualifier,"The base finding from CLORRES without modifiers. If the examination was completed and there were no abnormal findings, the value must be NORMAL.",Exp
16,Findings,CL,RESCAT,CLRESCAT,Result Category,Char,,Variable Qualifier,Used to categorize the result of a finding post collection. Examples: Color or Facial.,Perm
17,Findings,CL,STAT,CLSTAT,Completion Status,Char,(ND),Record Qualifier,Used to indicate examination not done or result is missing. Should be null if a result exists in CLORRES.,Perm
18,Findings,CL,REASND,CLREASND,Reason Not Done,Char,,Record Qualifier,"Describes why CLSTAT is NOT DONE, such as SUBJECT MORIBUND.",Perm
